translated_location,profil_negara,measure_name,year,gdp_per_capita,pop_density,val,prediction,cluster_risiko
Slovakia,Risiko Rendah,Meninggal,2023,39518.223,114.76824,0.4977934939705737,164.3820209933883,Rendah
Mongolia,Risiko Rendah,Meninggal,2023,16222.864,2.2034814,9.722920240580168,197.58583064504674,Rendah
Slovenia,Risiko Sedang,Meninggal,2023,47977.426,105.20222,0.47836154145985776,577.856376558099,Sedang
Norway,Risiko Sedang,Meninggal,2023,90085.44,15.151308,0.6778522076985884,342.9051257083576,Sedang
Ghana,Risiko Rendah,Meninggal,2023,6808.5376,148.49677,24.750285795928747,329.7204294827942,Sedang
Niue,Risiko Rendah,Meninggal,2023,15136.696,7.080769,6.080202990070768,192.31619890569985,Rendah
Portugal,Risiko Rendah,Meninggal,2023,41768.254,113.86569,1.9105668867625019,402.3072519250012,Sedang
Kamboja,Risiko Rendah,Meninggal,2023,15136.696,102.52181,27.995147345489308,324.3637984972367,Sedang
Barbados,Risiko Sedang,Meninggal,2023,21318.672,656.6209,0.4321803639383844,184.05728460070804,Rendah
Kolumbia,Risiko Rendah,Meninggal,2023,15136.696,102.52181,2.5959954762591244,149.80186060317837,Rendah
Bulgaria,Risiko Rendah,Meninggal,2023,33073.816,62.59953,0.6218538417108019,212.7731022011154,Rendah
Afganistan,Risiko Rendah,Meninggal,2023,15136.696,102.52181,12.947911665665341,210.24545711416263,Rendah
Sudan,Risiko Rendah,Meninggal,2023,2181.079,26.789507,3.875060490455781,294.4529190398555,Sedang
Kosta Rika,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.8574239091951243,154.61526499799672,Rendah
Belize,Risiko Rendah,Meninggal,2023,12371.009,18.023323,2.2767064959163803,210.91392061369044,Rendah
Kroasia,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.8873199482241474,176.82122632668737,Rendah
Indonesia,Risiko Rendah,Meninggal,2023,13889.975,148.57692,24.97067255745465,244.4646281830741,Rendah
Bangladesh,Risiko Sedang,Meninggal,2023,8242.398,1317.2543,10.057300600979781,478.6405578802724,Sedang
Eritrea,Risiko Rendah,Meninggal,2023,15136.696,28.671242,51.61236100077912,409.25569006895597,Sedang
Pulau Solomon,Risiko Rendah,Meninggal,2023,15136.696,102.52181,14.751999739266518,104.94984835292338,Rendah
Irak,Risiko Rendah,Meninggal,2023,15136.696,102.52181,2.0648421023681567,205.12139782543437,Rendah
Bhutan,Risiko Rendah,Meninggal,2023,14610.296,20.618406,22.67255893115634,541.7707794350353,Sedang
Samoa Amerika,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.6236979703656496,81.12571485510894,Rendah
Tonga,Risiko Rendah,Meninggal,2023,7030.419,145.29584,4.256717108718303,106.33034930523353,Rendah
Yordania,Risiko Rendah,Meninggal,2023,15136.696,102.52181,0.27733331656325955,273.3603756434753,Rendah
Kepulauan Mariana Utara,Risiko Rendah,Meninggal,2023,15136.696,102.52181,16.138633510147272,120.7398813459735,Rendah
Bermuda,Risiko Sedang,Meninggal,2023,103052.35,1198.537,0.05532966310317155,637.0709998325397,Sedang
Etiopia,Risiko Rendah,Meninggal,2023,15136.696,102.52181,22.992021785705443,257.49285929023597,Rendah
Nigeria,Risiko Rendah,Meninggal,2023,7843.8345,250.2091,19.007155465966953,316.04811106063454,Sedang
Germany,Risiko Sedang,Meninggal,2023,63039.37,241.98813,0.5014528385623744,371.5642711927303,Sedang
Sao Tome dan Principe,Risiko Rendah,Meninggal,2023,15136.696,102.52181,6.344414241428606,188.13391579455566,Rendah
Greece,Risiko Rendah,Meninggal,2023,36700.51,79.464005,0.7705764732848301,271.1282149227286,Rendah
Senegal,Risiko Rendah,Meninggal,2023,4304.7617,93.89484,19.33914720353547,273.92563082220886,Rendah
Chili,Risiko Rendah,Meninggal,2023,15136.696,102.52181,2.621804872013901,206.9492185794571,Rendah
Uruguay,Risiko Rendah,Meninggal,2023,31059.254,19.358261,1.6497130698511344,188.11024183095793,Rendah
Kiribati,Risiko Rendah,Meninggal,2023,3140.5833,163.62962,33.108038577391454,390.9289268227711,Sedang
Cina,Risiko Rendah,Meninggal,2023,15136.696,102.52181,1.7256950090927023,167.08060134028102,Rendah
Uzbekistan,Risiko Rendah,Meninggal,2023,10007.686,80.907906,3.532383418672811,180.23937677847755,Rendah
Kazakhstan,Risiko Rendah,Meninggal,2023,34703.234,7.530507,2.042035424868304,265.60468530505653,Rendah
Republik Rakyat Demokratik Korea,Risiko Rendah,Meninggal,2023,15136.696,102.52181,32.90746502434839,258.2116091181655,Rendah
Saint Lucia,Risiko Rendah,Meninggal,2023,23403.744,293.91968,1.4723465205090842,206.84635056358277,Rendah
Aljazair,Risiko Rendah,Meninggal,2023,15136.696,102.52181,4.402414536131881,601.4050101714582,Sedang
Qatar,Risiko Sedang,Meninggal,2023,116563.99,259.27643,0.533944880246351,633.3777679258441,Sedang
