location_name,translated_location,measure_name,metric_name,year,val,gdp_per_capita,pop_density
Austria,Austria,Meninggal,Laju,2015,0.7160586018374534,60951.688,104.75081
Kamboja,Kamboja,Meninggal,Laju,2015,34.12567955111105,15052.936,102.42198
Kosta Rika,Kosta Rika,Meninggal,Laju,2015,0.9800945801142141,15052.936,102.42198
Indonesia,Indonesia,Meninggal,Laju,2015,36.02774513872738,10893.662,138.33109
Bulgaria,Bulgaria,Meninggal,Laju,2015,1.4501969646485917,24562.75,66.115654
Pulau Solomon,Pulau Solomon,Meninggal,Laju,2015,16.7443240947252,15052.936,102.42198
Tonga,Tonga,Meninggal,Laju,2015,5.726936462435659,6194.639,147.375
Kroasia,Kroasia,Meninggal,Laju,2015,1.7568340853010498,15052.936,102.42198
Jerman,Germany,Meninggal,Laju,2015,0.5489406072604404,59573.707,234.9167
Chili,Chili,Meninggal,Laju,2015,2.63697935777228,15052.936,102.42198
Yunani,Greece,Meninggal,Laju,2015,0.9875623487694609,31347.977,83.94804
Uruguay,Uruguay,Meninggal,Laju,2015,1.8253118681285214,28941.629,19.24364
Saint Lucia,Saint Lucia,Meninggal,Laju,2015,1.6848007415809008,21142.973,286.75247
Saint Vincent dan Grenadines,Saint Vincent dan Grenadines,Meninggal,Laju,2015,1.7625150764344488,15052.936,102.42198
Spanyol,Spain,Meninggal,Laju,2015,0.7740648590103212,43053.76,93.417206
Republik Demokratik Rakyat Laos,Republik Demokratik Rakyat Laos,Meninggal,Laju,2015,29.43495393630043,15052.936,102.42198
Irak,Irak,Meninggal,Laju,2015,3.02097129546011,15052.936,102.42198
Yordania,Yordania,Meninggal,Laju,2015,0.36818295876871987,15052.936,102.42198
Czechia,Czechia,Meninggal,Laju,2015,0.5525265325308827,42066.574,136.34991
Norway,Norway,Meninggal,Laju,2015,0.7798836517742391,85550.3,14.247061
Swedia,Sweden,Meninggal,Laju,2015,0.8110428376668638,59468.355,24.060593
Kuba,Kuba,Meninggal,Laju,2015,0.32944443373570836,15052.936,102.42198
Portugal,Portugal,Meninggal,Laju,2015,2.10218656855218,35803.36,113.20557
Kolumbia,Kolumbia,Meninggal,Laju,2015,2.0047001192036364,15052.936,102.42198
Timor-Leste,Timor-Leste,Meninggal,Laju,2015,55.537855342451685,15052.936,102.42198
Malaysia,Malaysia,Meninggal,Laju,2015,6.734909697632666,27699.627,95.06254
Kazakhstan,Kazakhstan,Meninggal,Laju,2015,4.540470168419784,30893.76,6.6985874
Afganistan,Afganistan,Meninggal,Laju,2015,14.646840513794361,15052.936,102.42198
Vanuatu,Vanuatu,Meninggal,Laju,2015,14.648283606806094,3357.639,21.830599
Vietnam,Vietnam,Meninggal,Laju,2015,20.241872394003803,9248.024,296.154
Eritrea,Eritrea,Meninggal,Laju,2015,66.81669054786751,15052.936,25.657078
Hungaria,Hungaria,Meninggal,Laju,2015,1.116831549708367,15052.936,102.42198
Kirgistan,Kirgistan,Meninggal,Laju,2015,6.9383421590801815,15052.936,102.42198
Qatar,Qatar,Meninggal,Laju,2015,0.8587187092152879,123070.82,211.25674
Etiopia,Etiopia,Meninggal,Laju,2015,37.32174192761172,15052.936,102.42198
Slovakia,Slovakia,Meninggal,Laju,2015,0.6343886464293459,33521.594,112.734566
Nigeria,Nigeria,Meninggal,Laju,2015,30.558923656339296,8892.058,209.3524
Bangladesh,Bangladesh,Meninggal,Laju,2015,15.897768802479693,5352.7114,1224.4233
Arab Saudi,Saudi Arabia,Meninggal,Laju,2015,2.7344706318033403,58498.54,13.943846
Mongolia,Mongolia,Meninggal,Laju,2015,15.703006521848627,13974.597,1.9110848
Sao Tome dan Principe,Sao Tome dan Principe,Meninggal,Laju,2015,9.435789787878365,15052.936,102.42198
Barbados,Barbados,Meninggal,Laju,2015,0.4501706993668398,20666.965,648.8349
Republik Arab Syria,Republik Arab Syria,Meninggal,Laju,2015,0.6355778952649122,15052.936,102.42198
Makedonia Utara,Makedonia Utara,Meninggal,Laju,2015,2.0741967533291765,15052.936,102.42198
Islandia,Islandia,Meninggal,Laju,2015,0.4750035304127402,15052.936,102.42198
El Salvador,El Salvador,Meninggal,Laju,2015,4.424229881245878,9646.154,298.4399
Irlandia,Irlandia,Meninggal,Laju,2015,0.5023686592244796,15052.936,102.42198
Slovenia,Slovenia,Meninggal,Laju,2015,0.7174406910704988,38527.42,102.299614
Senegal,Senegal,Meninggal,Laju,2015,27.934698666609748,3593.7947,75.79772
Bhutan,Bhutan,Meninggal,Laju,2015,24.936419012883448,12400.298,19.418537
Belize,Belize,Meninggal,Laju,2015,2.785776587139991,12348.795,15.622139
Guatemala,Guatemala,Meninggal,Laju,2015,2.794098694904329,10785.958,149.04578
Somalia,Somalia,Meninggal,Laju,2015,92.88789374864025,1343.9252,22.008749
Gambia,Gambia,Meninggal,Laju,2015,27.68590002859831,2495.9575,219.81522
Samoa Amerika,Samoa Amerika,Meninggal,Laju,2015,1.7602106616135653,15052.936,102.42198
Sudan,Sudan,Meninggal,Laju,2015,4.892944491785966,4159.1943,21.426355
Republik Persatuan Tanzania,Republik Persatuan Tanzania,Meninggal,Laju,2015,26.85760839659024,15052.936,102.42198
Ghana,Ghana,Meninggal,Laju,2015,33.60913391570436,5607.366,126.11828
Bermuda,Bermuda,Meninggal,Laju,2015,0.06091374943586373,93859.875,1175.5927
Benin,Benin,Meninggal,Laju,2015,33.191445697841324,2952.0022,100.750984
Kuwait,Kuwait,Meninggal,Laju,2015,0.8345848678074721,57763.516,215.17761
India,India,Meninggal,Laju,2015,34.844134818152575,6488.146,446.66653
Dominica,Dominica,Meninggal,Laju,2015,2.8734912298922306,16920.912,93.905334
Kenya,Kenya,Meninggal,Laju,2015,21.77485308284248,4679.622,82.73628
Nepal,Nepal,Meninggal,Laju,2015,22.37081871118787,3745.2617,194.09578
Libanon,Libanon,Meninggal,Laju,2015,1.5847261093138167,15052.936,102.42198
Madagaskar,Madagaskar,Meninggal,Laju,2015,47.93485587829856,15052.936,102.42198
Republik Dominika,Dominican Republic,Meninggal,Laju,2015,4.680085695200026,17973.188,219.53728
Niue,Niue,Meninggal,Laju,2015,7.241218000714179,15052.936,6.9346156
Taiwan (Provinsi Tiongkok),Taiwan (Provinsi Tiongkok),Meninggal,Laju,2015,3.2830421544613504,15052.936,102.42198
Sierra Leone,Sierra Leone,Meninggal,Laju,2015,50.086071963500466,2628.1707,97.501526
Maladewa,Maladewa,Meninggal,Laju,2015,5.409119476051713,15052.936,102.42198
Myanmar,Myanmar,Meninggal,Laju,2015,38.08029926497254,5313.886,78.277016
Armenia,Armenia,Meninggal,Laju,2015,2.2704772612837463,13112.76,102.605515
Kepulauan Mariana Utara,Kepulauan Mariana Utara,Meninggal,Laju,2015,15.615798960862042,15052.936,102.42198
Kamboja,Kamboja,Meninggal,Laju,2016,33.01787747299917,15052.936,102.42198
Filipina,Filipina,Meninggal,Laju,2015,27.381853373763768,15052.936,102.42198
Belgium,Belgium,Meninggal,Laju,2015,0.6552696942300935,57509.023,372.36896
Indonesia,Indonesia,Meninggal,Laju,2016,34.2339104955626,11319.663,139.82545
Siprus,Siprus,Meninggal,Laju,2015,0.5198135452239014,15052.936,102.42198
Pulau Solomon,Pulau Solomon,Meninggal,Laju,2016,16.08140235220932,15052.936,102.42198
